rank_x,postid,rank_y,rank
451.0,9317923,210.0,
97.0,46195370,6.0,
3361.0,58516071,,
3750.0,38064175,3396.0,
1798.0,36233318,,
249.0,9867225,,
2028.0,22492219,4.0,774.0
2088.0,19716535,,
119.0,54184027,,
929.0,44467559,,
841.0,37714152,,49.0
15.0,15258954,72.0,2970.0
2791.0,28383595,,
893.0,58250126,1.0,
37.0,32558568,,56.0
1425.0,28384164,85.0,
1132.0,14645363,175.0,3704.0
636.0,23307653,,9.0
1525.0,55569337,,
775.0,32120291,,
3143.0,39484118,,
2.0,39006840,,
1584.0,46607506,,66.0
583.0,53212878,14.0,
274.0,37274007,278.0,3.0
425.0,51086959,1330.0,
1159.0,53884353,2181.0,
1.0,31925595,445.0,54.0
1176.0,42695298,237.0,
367.0,35699399,3371.0,
959.0,31394755,26.0,
1.0,20561190,,
698.0,34213315,,
712.0,38056641,447.0,
2065.0,39628872,,1.0
804.0,3835714,,
852.0,58188784,,841.0
1796.0,58176637,,
322.0,31923107,,
3.0,18257642,4.0,
968.0,43297797,155.0,
2489.0,54238427,,
674.0,13675380,2298.0,
1716.0,10535235,264.0,
408.0,35432923,,832.0
1480.0,36919953,1.0,
1.0,48924219,,
812.0,30116606,,
2329.0,12362857,,
154.0,22177756,,
622.0,56770222,,
607.0,26574054,63.0,
2098.0,19439689,,
406.0,24157990,,
1595.0,23588127,1718.0,
3358.0,37789299,622.0,
1.0,45915720,,2152.0
1798.0,46287086,1530.0,
1415.0,20749444,,
1935.0,28634345,16.0,
183.0,60160905,,7.0
1030.0,44245666,18.0,
2235.0,6592214,,3541.0
362.0,13550501,,
840.0,25466013,4.0,
2562.0,13407236,,
1439.0,46580556,,
246.0,27135962,,
3382.0,37944197,,
1999.0,26720663,,
462.0,24940246,2189.0,
805.0,15647282,,
1698.0,58756264,1086.0,
926.0,21987834,,
993.0,16947431,1087.0,
2998.0,39024390,,
73.0,38308134,241.0,
1171.0,27496127,,
568.0,44239415,,
560.0,55345679,,
307.0,3440373,,
496.0,45907614,1544.0,
2365.0,18473382,,
517.0,28605657,,
2142.0,33530066,,
2475.0,9035674,19.0,
173.0,45119432,,
492.0,33890896,,
3127.0,14023423,3108.0,
777.0,13701347,,
370.0,3796266,,
3556.0,38102921,3093.0,
853.0,15112440,122.0,
1462.0,41010050,,
3731.0,28771018,145.0,
1.0,10207564,,
707.0,32275113,124.0,3990.0
3121.0,54132300,,
